"Chr","identity_NCBI","tx","gene","pr","identity_Zijun","identity"
"NC_050475.1","mRNA","XM_012676007.3","LOC105833908","XP_012531461.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676008.3","LOC105833908","XP_012531462.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676009.3","LOC105833908","XP_012531463.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676010.3","LOC105833909","XP_012531464.2",NA,"protein"
"NC_050468.1","mRNA","XM_012676011.3","LOC105833910","XP_012531465.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676012.3","LOC105833910","XP_012531466.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676015.3","LOC105833910","XP_012531469.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676016.3","LOC105833910","XP_012531470.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676019.3","LOC105833912","XP_012531473.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676020.3","LOC105833912","XP_012531474.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676021.3","LOC105833913","XP_012531475.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676022.3","LOC105833913","XP_012531476.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676023.3","LOC105833914","XP_012531477.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676024.3","LOC105833915","XP_012531478.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676031.3","LOC105833921","XP_012531485.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676032.2","LOC105833921","XP_012531486.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676033.3","LOC105833922","XP_012531487.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676034.3","LOC105833923","XP_012531488.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676035.3","LOC105833924","XP_012531489.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676036.3","LOC105833925","XP_012531490.2",NA,"protein"
"NC_050471.1","mRNA","XM_012676040.3","LOC105833929","XP_012531494.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676041.3","LOC105833929","XP_012531495.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676042.3","LOC105833929","XP_012531496.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676044.3","LOC105833930","XP_012531498.2",NA,"protein"
"NC_050473.1","mRNA","XM_012676045.3","LOC105833931","XP_012531499.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676046.3","LOC105833932","XP_012531500.2",NA,"protein"
"NC_050467.1","mRNA","XM_012676047.3","LOC105833933","XP_012531501.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676049.3","LOC105833935","XP_012531503.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676050.3","LOC105833937","XP_012531504.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676051.3","LOC105833938","XP_012531505.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676053.3","LOC105833936","XP_012531507.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676059.3","LOC105833943","XP_012531513.2",NA,"protein"
"NC_050471.1","mRNA","XM_012676063.3","LOC105833943","XP_012531517.2",NA,"protein"
"NC_050471.1","mRNA","XM_012676064.3","LOC105833943","XP_012531518.2",NA,"protein"
"NC_050471.1","mRNA","XM_012676065.3","LOC105833943","XP_012531519.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676070.3","LOC105833948","XP_012531524.3",NA,"protein"
"NC_050476.1","mRNA","XM_012676071.2","LOC105833948","XP_012531525.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676072.3","LOC105833948","XP_012531526.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676076.3","LOC105833949","XP_012531530.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676078.3","LOC105833949","XP_012531532.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676079.3","LOC105833950","XP_012531533.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676081.3","LOC105833949","XP_012531535.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676082.3","LOC105833949","XP_012531536.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676083.3","LOC105833949","XP_012531537.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676084.3","LOC105833952","XP_012531538.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676085.3","LOC105833952","XP_012531539.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676086.3","LOC105833952","XP_012531540.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676087.2","LOC105833952","XP_012531541.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676088.3","LOC105833952","XP_012531542.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676089.3","LOC105833952","XP_012531543.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676090.3","LOC105833952","XP_012531544.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676091.2","LOC105833955","XP_012531545.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676093.2","LOC105833956","XP_012531547.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676095.3","LOC105833958","XP_012531549.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676096.3","LOC105833958","XP_012531550.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676097.3","LOC105833958","XP_012531551.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676098.3","LOC105833959","XP_012531552.2",NA,"protein"
"NC_050470.1","mRNA","XM_012676102.3","LOC105833961","XP_012531556.2",NA,"protein"
"NC_050470.1","mRNA","XM_012676103.3","LOC105833961","XP_012531557.2",NA,"protein"
"NC_050470.1","mRNA","XM_012676104.3","LOC105833961","XP_012531558.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676109.3","LOC105833967","XP_012531563.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676110.3","LOC105833967","XP_012531564.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676115.3","LOC105833968","XP_012531569.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676116.3","LOC105833968","XP_012531570.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676117.3","LOC105833969","XP_012531571.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676118.3","LOC105833970","XP_012531572.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676123.3","LOC105833972","XP_012531577.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676132.3","LOC105833979","XP_012531586.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676135.3","LOC105833983","XP_012531589.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676136.3","LOC105833983","XP_012531590.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676137.3","LOC105833983","XP_012531591.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676138.3","LOC105833983","XP_012531592.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676139.3","LOC105833983","XP_012531593.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676141.3","LOC105833984","XP_012531595.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676142.3","LOC105833985","XP_012531596.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676143.3","LOC105833985","XP_012531597.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676144.3","LOC105833986","XP_012531598.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676145.3","LOC105833987","XP_012531599.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676146.3","LOC105833988","XP_012531600.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676149.3","LOC105833991","XP_012531603.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676152.3","LOC105833990","XP_012531606.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676153.3","LOC105833992","XP_012531607.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676155.3","LOC105833992","XP_012531609.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676156.3","LOC105833992","XP_012531610.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676158.3","LOC105833992","XP_012531612.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676159.3","LOC105833993","XP_012531613.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676160.3","LOC105833993","XP_012531614.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676162.3","LOC105833990","XP_012531616.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676166.3","LOC105833996","XP_012531620.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676167.3","LOC105833997","XP_012531621.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676177.3","LOC105834000","XP_012531631.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676178.2","LOC105834001","XP_012531632.2",NA,"protein"
"NC_050472.1","mRNA","XM_012676179.3","LOC105834002","XP_012531633.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676187.3","LOC105834007","XP_012531641.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676188.3","LOC105834007","XP_012531642.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676189.3","LOC105834007","XP_012531643.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676190.3","LOC105834007","XP_012531644.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676193.3","LOC105834011","XP_012531647.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676194.3","LOC105834013","XP_012531648.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676196.3","LOC105834015","XP_012531650.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676210.3","LOC105834023","XP_012531664.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676212.3","LOC105834023","XP_012531666.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676213.3","LOC105834025","XP_012531667.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676214.3","LOC105834026","XP_012531668.2",NA,"protein"
"NC_050468.1","mRNA","XM_012676218.3","LOC105834030","XP_012531672.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676219.3","LOC105834032","XP_012531673.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676221.3","LOC105834034","XP_012531675.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676222.3","LOC105834031","XP_012531676.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676223.3","LOC105834035","XP_012531677.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676224.3","LOC105834035","XP_012531678.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676225.3","LOC105834035","XP_012531679.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676226.3","LOC105834036","XP_012531680.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676231.3","LOC105834039","XP_012531685.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676232.3","LOC105834039","XP_012531686.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676233.2","LOC105834040","XP_012531687.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676234.2","LOC105834041","XP_012531688.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676236.3","LOC105834043","XP_012531690.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676237.2","LOC105834044","XP_012531691.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676238.3","LOC105834045","XP_012531692.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676239.3","LOC105834045","XP_012531693.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676240.2","LOC105834045","XP_012531694.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676241.3","LOC105834046","XP_012531695.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676242.3","LOC105834047","XP_012531696.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676245.2","LOC105834049","XP_012531699.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676250.3","LOC105834054","XP_012531704.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676252.3","LOC105834055","XP_012531706.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676253.3","LOC105834053","XP_012531707.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676255.3","LOC105834055","XP_012531709.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676259.3","LOC105834055","XP_012531713.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676260.3","LOC105834055","XP_012531714.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676261.3","LOC105834055","XP_012531715.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676264.3","LOC105834055","XP_012531718.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676265.3","LOC105834055","XP_012531719.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676266.3","LOC105834055","XP_012531720.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676267.3","LOC105834056","XP_012531721.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676268.3","LOC105834056","XP_012531722.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676269.3","LOC105834056","XP_012531723.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676270.3","LOC105834057","XP_012531724.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676271.3","LOC105834058","XP_012531725.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676272.3","LOC105834059","XP_012531726.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676273.3","LOC105834060","XP_012531727.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676274.3","LOC105834061","XP_012531728.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676278.3","LOC105834065","XP_012531732.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676281.3","LOC105834066","XP_012531735.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676282.3","LOC105834067","XP_012531736.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676283.3","LOC105834067","XP_012531737.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676284.3","LOC105834067","XP_012531738.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676285.3","LOC105834069","XP_012531739.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676288.3","LOC105834072","XP_012531742.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676289.3","LOC105834072","XP_012531743.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676290.3","LOC105834072","XP_012531744.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676291.3","LOC105834073","XP_012531745.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676292.3","LOC105834073","XP_012531746.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676293.3","LOC105834074","XP_012531747.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676295.2","LOC105834075","XP_012531749.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676296.2","LOC105834075","XP_012531750.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676297.3","LOC105834077","XP_012531751.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676298.3","LOC105834078","XP_012531752.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676299.3","LOC105834079","XP_012531753.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676300.3","LOC105834080","XP_012531754.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676303.3","LOC105834080","XP_012531757.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676304.3","LOC105834082","XP_012531758.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676305.3","LOC105834083","XP_012531759.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676307.3","LOC105834083","XP_012531761.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676308.3","LOC105834083","XP_012531762.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676312.3","LOC105834084","XP_012531766.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676315.3","LOC105834087","XP_012531769.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676316.3","LOC105834087","XP_012531770.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676317.3","LOC105834087","XP_012531771.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676321.3","LOC105834090","XP_012531775.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676322.3","LOC105834092","XP_012531776.1",NA,"protein"
"NC_050470.1","mRNA","XM_012676324.3","LOC105834093","XP_012531778.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676326.3","LOC105834095","XP_012531780.2",NA,"protein"
"NC_050468.1","mRNA","XM_012676334.3","LOC105834101","XP_012531788.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676335.3","LOC105834102","XP_012531789.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676337.3","LOC105834104","XP_012531791.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676339.3","LOC105834108","XP_012531793.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676340.3","LOC105834109","XP_012531794.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676342.3","LOC105834110","XP_012531796.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676344.3","LOC105834111","XP_012531798.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676345.3","LOC105834112","XP_012531799.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676346.3","LOC105834114","XP_012531800.2",NA,"protein"
"NC_050475.1","mRNA","XM_012676347.3","LOC105834114","XP_012531801.2",NA,"protein"
"NC_050475.1","mRNA","XM_012676348.3","LOC105834114","XP_012531802.2",NA,"protein"
"NC_050475.1","mRNA","XM_012676350.3","LOC105834116","XP_012531804.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676352.3","LOC105834117","XP_012531806.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676353.1","LOC105834115","XP_012531807.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676361.3","LOC105834119","XP_012531815.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676362.3","LOC105834120","XP_012531816.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676363.2","LOC105834120","XP_012531817.1",NA,"protein"
"NC_050475.1","mRNA","XM_012676364.3","LOC105834120","XP_012531818.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676366.3","LOC105834122","XP_012531820.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676369.3","LOC105834122","XP_012531823.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676370.3","LOC105834123","XP_012531824.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676371.2","LOC105834124","XP_012531825.1",NA,"protein"
"NC_050473.1","mRNA","XM_012676372.3","Ickin1-1","XP_012531826.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676376.3","LOC105834129","XP_012531830.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676377.3","LOC105834129","XP_012531831.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676378.3","LOC105834130","XP_012531832.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676379.3","LOC105834130","XP_012531833.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676380.3","LOC105834130","XP_012531834.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676381.3","LOC105834132","XP_012531835.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676382.3","LOC105834132","XP_012531836.2",NA,"protein"
"NC_050472.1","mRNA","XM_012676383.3","LOC105834132","XP_012531837.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676384.3","LOC105834132","XP_012531838.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676386.3","LOC105834132","XP_012531840.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676387.3","LOC105834133","XP_012531841.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676388.3","LOC105834133","XP_012531842.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676389.3","LOC105834133","XP_012531843.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676390.3","LOC105834133","XP_012531844.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676393.3","LOC105834134","XP_012531847.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676397.3","LOC105834138","XP_012531851.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676399.3","LOC105834138","XP_012531853.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676400.3","LOC105834138","XP_012531854.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676401.3","LOC105834138","XP_012531855.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676402.3","LOC105834138","XP_012531856.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676403.3","LOC105834138","XP_012531857.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676404.3","LOC105834140","XP_012531858.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676405.3","LOC105834140","XP_012531859.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676406.3","LOC105834140","XP_012531860.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676407.3","LOC105834140","XP_012531861.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676409.3","LOC105834142","XP_012531863.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676410.3","LOC105834143","XP_012531864.1",NA,"protein"
"NC_050472.1","mRNA","XM_012676411.3","LOC105834144","XP_012531865.2",NA,"protein"
"NC_050472.1","mRNA","XM_012676413.3","LOC105834144","XP_012531867.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676414.3","LOC105834145","XP_012531868.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676416.3","LOC105834147","XP_012531870.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676417.3","LOC105834148","XP_012531871.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676418.3","LOC105834148","XP_012531872.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676420.3","LOC105834150","XP_012531874.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676421.3","LOC105834151","XP_012531875.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676422.3","LOC105834152","XP_012531876.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676424.3","LOC105834154","XP_012531878.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676425.3","LOC105834155","XP_012531879.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676426.3","LOC105834156","XP_012531880.1",NA,"protein"
"NC_050471.1","mRNA","XM_012676428.3","LOC105834158","XP_012531882.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676430.3","LOC105834159","XP_012531884.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676433.3","LOC105834161","XP_012531887.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676435.1","LOC105834160","XP_012531889.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676436.3","LOC105834162","XP_012531890.1",NA,"protein"
"NC_050477.1","mRNA","XM_012676437.3","LOC105834163","XP_012531891.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676438.3","LOC105834163","XP_012531892.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676439.3","LOC105834163","XP_012531893.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676440.3","LOC105834163","XP_012531894.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676442.3","LOC105834163","XP_012531896.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676443.3","LOC105834163","XP_012531897.2",NA,"protein"
"NC_050477.1","mRNA","XM_012676444.3","LOC105834163","XP_012531898.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676445.2","LOC105834139","XP_012531899.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676446.2","LOC105834166","XP_012531900.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676447.3","LOC105834167","XP_012531901.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676450.3","LOC105834167","XP_012531904.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676451.3","LOC105834168","XP_012531905.2",NA,"protein"
"NC_050468.1","mRNA","XM_012676452.3","LOC105834169","XP_012531906.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676454.3","LOC105834171","XP_012531908.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676455.3","LOC105834171","XP_012531909.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676456.3","LOC105834171","XP_012531910.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676457.3","LOC105834171","XP_012531911.1",NA,"protein"
"NC_050467.1","mRNA","XM_012676458.2","LOC105834170","XP_012531912.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676459.3","LOC105834171","XP_012531913.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676460.3","LOC105834172","XP_012531914.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676461.3","LOC105834173","XP_012531915.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676462.3","LOC105834173","XP_012531916.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676463.3","LOC105834173","XP_012531917.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676466.3","LOC105834175","XP_012531920.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676467.3","LOC105834177","XP_012531921.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676468.2","LOC105834178","XP_012531922.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676469.3","LOC105834179","XP_012531923.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676471.3","LOC105834180","XP_012531925.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676475.3","LOC105834183","XP_012531929.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676476.3","LOC105834183","XP_012531930.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676478.3","LOC105834185","XP_012531932.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676480.3","LOC105834186","XP_012531934.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676483.3","LOC105834190","XP_012531937.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676484.3","LOC105834190","XP_012531938.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676485.3","LOC105834190","XP_012531939.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676486.3","LOC105834190","XP_012531940.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676488.3","LOC105834191","XP_012531942.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676491.3","LOC105834193","XP_012531945.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676494.2","LOC105834194","XP_012531948.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676495.3","LOC105834195","XP_012531949.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676496.3","LOC105834195","XP_012531950.2",NA,"protein"
"NC_050474.1","mRNA","XM_012676499.3","LOC105834198","XP_012531953.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676501.3","LOC105834201","XP_012531955.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676502.2","LOC105834202","XP_012531956.1",NA,"protein"
"NC_050476.1","mRNA","XM_012676504.3","LOC105834200","XP_012531958.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676505.3","LOC105834203","XP_012531959.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676506.2","LOC105834203","XP_012531960.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676508.2","LOC105834204","XP_012531962.1",NA,"protein"
"NC_050474.1","mRNA","XM_012676509.3","LOC105834205","XP_012531963.1",NA,"protein"
"NC_050468.1","mRNA","XM_012676510.3","LOC105834206","XP_012531964.2",NA,"protein"
"NC_050469.1","mRNA","XM_012676512.3","LOC105834208","XP_012531966.2",NA,"protein"
"NC_050476.1","mRNA","XM_012676513.3","LOC105834200","XP_012531967.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676514.3","LOC105834209","XP_012531968.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676515.3","LOC105834209","XP_012531969.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676517.3","LOC105834209","XP_012531971.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676518.3","LOC105834210","XP_012531972.1",NA,"protein"
"NC_050469.1","mRNA","XM_012676520.3","LOC105834210","XP_012531974.1",NA,"protein"
